experiment_id,experiment_type,error_type,called_winner,false_positive_shipped,decision_confidence_score,confidence_category,shipping_cost,monthly_revenue_impact,total_cost_of_wrong_decision
EXP039,Price discount popup,True Positive,True,False,80.0,High Confidence,0,0,0
EXP037,Top 10 label,True Positive,True,False,80.0,High Confidence,0,0,0
EXP143,Recommended row placement,True Positive,True,False,80.0,High Confidence,0,0,0
EXP036,Autoplay next episode,True Positive,True,False,80.0,High Confidence,0,0,0
EXP034,Personalised thumbnail,False Positive,True,True,80.0,High Confidence,30000,-5000,120000
EXP149,Personalised thumbnail,True Positive,True,False,80.0,High Confidence,0,0,0
EXP195,Top 10 label,False Positive,True,True,80.0,High Confidence,15000,-3000,69000
EXP152,Recommended row placement,False Positive,True,True,80.0,High Confidence,35000,-7000,161000
EXP154,Download for offline prompt,False Positive,True,True,80.0,High Confidence,40000,-5000,130000
EXP197,Download for offline prompt,False Positive,True,True,80.0,High Confidence,40000,-5000,130000
EXP163,Price discount popup,False Positive,True,True,80.0,High Confidence,25000,-12000,241000
EXP165,Recommended row placement,True Positive,True,False,80.0,High Confidence,0,0,0
EXP025,Email re-engagement,False Positive,True,True,80.0,High Confidence,15000,-3000,69000
EXP167,Continue watching prompt,True Positive,True,False,80.0,High Confidence,0,0,0
EXP021,Download for offline prompt,False Positive,True,True,80.0,High Confidence,40000,-5000,130000
EXP172,Top 10 label,False Positive,True,True,80.0,High Confidence,15000,-3000,69000
EXP019,Personalised thumbnail,False Positive,True,True,80.0,High Confidence,30000,-5000,120000
EXP176,Download for offline prompt,False Positive,True,True,80.0,High Confidence,40000,-5000,130000
EXP016,Price discount popup,False Positive,True,True,80.0,High Confidence,25000,-12000,241000
EXP199,Download for offline prompt,False Positive,True,True,80.0,High Confidence,40000,-5000,130000
EXP181,Top 10 label,False Positive,True,True,80.0,High Confidence,15000,-3000,69000
EXP182,Top 10 label,False Positive,True,True,80.0,High Confidence,15000,-3000,69000
EXP183,Top 10 label,False Positive,True,True,80.0,High Confidence,15000,-3000,69000
EXP013,Download for offline prompt,True Positive,True,False,80.0,High Confidence,0,0,0
EXP011,Recommended row placement,False Positive,True,True,80.0,High Confidence,35000,-7000,161000
EXP188,Social proof badge,True Positive,True,False,80.0,High Confidence,0,0,0
EXP189,Skip intro button,False Positive,True,True,80.0,High Confidence,20000,-6000,128000
EXP080,Email re-engagement,True Positive,True,False,80.0,High Confidence,0,0,0
EXP078,Autoplay next episode,False Positive,True,True,80.0,High Confidence,45000,-8000,189000
EXP082,Recommended row placement,False Positive,True,True,80.0,High Confidence,35000,-7000,161000
EXP083,Skip intro button,False Positive,True,True,80.0,High Confidence,20000,-6000,128000
EXP077,Personalised thumbnail,False Positive,True,True,80.0,High Confidence,30000,-5000,120000
EXP076,Personalised thumbnail,True Positive,True,False,80.0,High Confidence,0,0,0
EXP087,Top 10 label,False Positive,True,True,80.0,High Confidence,15000,-3000,69000
EXP099,Email re-engagement,True Positive,True,False,80.0,High Confidence,0,0,0
EXP008,Price discount popup,False Positive,True,True,80.0,High Confidence,25000,-12000,241000
EXP063,Price discount popup,False Positive,True,True,80.0,High Confidence,25000,-12000,241000
EXP104,Price discount popup,False Positive,True,True,80.0,High Confidence,25000,-12000,241000
EXP058,Email re-engagement,False Positive,True,True,80.0,High Confidence,15000,-3000,69000
EXP109,Personalised thumbnail,False Positive,True,True,80.0,High Confidence,30000,-5000,120000
EXP111,Continue watching prompt,False Positive,True,True,80.0,High Confidence,20000,-4000,92000
EXP057,Recommended row placement,False Positive,True,True,80.0,High Confidence,35000,-7000,161000
EXP113,Email re-engagement,False Positive,True,True,80.0,High Confidence,15000,-3000,69000
EXP114,Continue watching prompt,True Positive,True,False,80.0,High Confidence,0,0,0
EXP056,Download for offline prompt,False Positive,True,True,80.0,High Confidence,40000,-5000,130000
EXP119,Download for offline prompt,False Positive,True,True,80.0,High Confidence,40000,-5000,130000
EXP097,Personalised thumbnail,False Positive,True,True,100.0,High Confidence,30000,-5000,120000
EXP069,Top 10 label,False Positive,True,True,100.0,High Confidence,15000,-3000,69000
EXP090,Autoplay next episode,False Positive,True,True,100.0,High Confidence,45000,-8000,189000
EXP067,Recommended row placement,False Positive,True,True,100.0,High Confidence,35000,-7000,161000
EXP144,Top 10 label,True Positive,True,False,100.0,High Confidence,0,0,0
EXP187,Top 10 label,False Positive,True,True,100.0,High Confidence,15000,-3000,69000
EXP089,Top 10 label,True Positive,True,False,100.0,High Confidence,0,0,0
EXP146,Social proof badge,False Positive,True,True,100.0,High Confidence,10000,-2000,46000
EXP073,Autoplay next episode,False Negative,False,False,100.0,High Confidence,0,0,0
EXP106,Download for offline prompt,False Positive,True,True,100.0,High Confidence,40000,-5000,130000
EXP094,Continue watching prompt,False Positive,True,True,100.0,High Confidence,20000,-4000,92000
EXP147,Email re-engagement,False Positive,True,True,100.0,High Confidence,15000,-3000,69000
EXP171,Recommended row placement,True Positive,True,False,100.0,High Confidence,0,0,0
EXP110,Continue watching prompt,False Positive,True,True,100.0,High Confidence,20000,-4000,92000
EXP075,Top 10 label,False Positive,True,True,100.0,High Confidence,15000,-3000,69000
EXP150,Email re-engagement,False Positive,True,True,100.0,High Confidence,15000,-3000,69000
EXP173,Email re-engagement,False Positive,True,True,100.0,High Confidence,15000,-3000,69000
EXP020,Download for offline prompt,False Positive,True,True,100.0,High Confidence,40000,-5000,130000
EXP115,Autoplay next episode,False Positive,True,True,100.0,High Confidence,45000,-8000,189000
EXP116,Social proof badge,False Positive,True,True,100.0,High Confidence,10000,-2000,46000
EXP092,Top 10 label,False Positive,True,True,100.0,High Confidence,15000,-3000,69000
EXP032,Email re-engagement,True Positive,True,False,100.0,High Confidence,0,0,0
EXP192,Top 10 label,False Positive,True,True,100.0,High Confidence,15000,-3000,69000
EXP007,Personalised thumbnail,True Positive,True,False,100.0,High Confidence,0,0,0
EXP054,Continue watching prompt,False Positive,True,True,100.0,High Confidence,20000,-4000,92000
EXP031,Skip intro button,False Positive,True,True,100.0,High Confidence,20000,-6000,128000
EXP123,Email re-engagement,True Positive,True,False,100.0,High Confidence,0,0,0
EXP074,Social proof badge,False Positive,True,True,100.0,High Confidence,10000,-2000,46000
EXP158,Top 10 label,False Positive,True,True,100.0,High Confidence,15000,-3000,69000
EXP126,Personalised thumbnail,True Positive,True,False,100.0,High Confidence,0,0,0
EXP190,Continue watching prompt,False Positive,True,True,100.0,High Confidence,20000,-4000,92000
EXP029,Skip intro button,False Positive,True,True,100.0,High Confidence,20000,-6000,128000
EXP129,Top 10 label,True Positive,True,False,100.0,High Confidence,0,0,0
EXP027,Skip intro button,False Positive,True,True,100.0,High Confidence,20000,-6000,128000
EXP198,Social proof badge,False Positive,True,True,100.0,High Confidence,10000,-2000,46000
EXP191,Social proof badge,False Positive,True,True,100.0,High Confidence,10000,-2000,46000
EXP047,Continue watching prompt,True Positive,True,False,100.0,High Confidence,0,0,0
EXP026,Autoplay next episode,True Positive,True,False,100.0,High Confidence,0,0,0
EXP046,Continue watching prompt,True Positive,True,False,100.0,High Confidence,0,0,0
EXP015,Personalised thumbnail,False Positive,True,True,100.0,High Confidence,30000,-5000,120000
EXP044,Recommended row placement,False Positive,True,True,100.0,High Confidence,35000,-7000,161000
EXP186,Autoplay next episode,True Positive,True,False,100.0,High Confidence,0,0,0
EXP014,Continue watching prompt,False Positive,True,True,100.0,High Confidence,20000,-4000,92000
EXP168,Social proof badge,False Positive,True,True,100.0,High Confidence,10000,-2000,46000
EXP141,Personalised thumbnail,False Positive,True,True,100.0,High Confidence,30000,-5000,120000
EXP142,Email re-engagement,True Positive,True,False,100.0,High Confidence,0,0,0
